id,title,description,category,price,image_url,image_path
1,Blue Denim Jacket,Classic blue denim jacket with button closure. Perfect for casual outings.,tops_outerwear,89.99,https://images.unsplash.com/photo-1576871337622-98d48d1cf531?w=600&auto=format,data\images\product_1.jpg
2,White Cotton T-shirt,Soft and breathable cotton t-shirt. Basic essential for any wardrobe.,tops_tshirts,24.99,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=600&auto=format,data\images\product_2.jpg
3,Red Knit Sweater,Warm knit sweater in vibrant red. Perfect for colder days.,tops_sweaters,69.99,https://images.unsplash.com/photo-1584273143981-41c073dfe8f8?w=600&auto=format,data\images\product_3.jpg
4,Striped Polo Shirt,Cotton polo shirt with classic stripes. Casual yet refined look.,tops_tshirts,39.99,https://images.unsplash.com/photo-1581655353564-df123a1eb820?w=600&auto=format,data\images\product_4.jpg
5,Blue Formal Shirt,Crisp blue formal shirt with standard collar. Perfect for office wear.,tops_formal,59.99,https://images.unsplash.com/photo-1563630423918-b58f07336ac5?w=600&auto=format,
6,Green Hoodie,Comfortable cotton hoodie in forest green. Warm and casual.,tops_outerwear,49.99,https://images.unsplash.com/photo-1556172732-bcded72dab6b?w=600&auto=format,
7,Beige Trench Coat,Classic trench coat in beige. Timeless style and weather-resistant.,tops_outerwear,129.99,https://images.unsplash.com/photo-1520975954732-35dd22299614?w=600&auto=format,data\images\product_7.jpg
8,Black Leather Jacket,Sleek black leather jacket with zippered front. Edgy and versatile.,tops_outerwear,179.99,https://images.unsplash.com/photo-1551028719-00167b16eac5?w=600&auto=format,data\images\product_8.jpg
9,Navy Blue Blazer,Tailored navy blue blazer. Perfect for business meetings or formal events.,tops_formal,149.99,https://images.unsplash.com/photo-1592878904946-b3cd8ae243d0?w=600&auto=format,data\images\product_9.jpg
10,Graphic Print T-shirt,Cotton t-shirt with artistic graphic print. Stand out from the crowd.,tops_tshirts,32.99,https://images.unsplash.com/photo-1503341338985-c0477be52513?w=600&auto=format,data\images\product_10.jpg
11,Black Slim-fit Jeans,Stretch denim slim-fit jeans. Modern cut and comfortable fit.,bottoms_jeans,59.99,https://images.unsplash.com/photo-1541099649105-f69ad21f3246?w=600&auto=format,data\images\product_11.jpg
12,Khaki Chino Pants,Classic khaki chino pants. Versatile and perfect for business casual.,bottoms_casual,69.99,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=600&auto=format,data\images\product_12.jpg
13,Blue Distressed Jeans,Distressed blue jeans with a relaxed fit. Casual and trendy.,bottoms_jeans,79.99,https://images.unsplash.com/photo-1528826007158-4c12fcdf8291?w=600&auto=format,
14,Black Dress Pants,Formal black dress pants with a sleek finish. Essential for any formal wardrobe.,bottoms_formal,89.99,https://images.unsplash.com/photo-1633966887768-64f9a867bdba?w=600&auto=format,data\images\product_14.jpg
15,Gray Sweatpants,Comfortable gray sweatpants for lounging or workouts. Soft and durable.,bottoms_casual,39.99,https://images.unsplash.com/photo-1590739292323-7b1b3d160d97?w=600&auto=format,
16,Pleated Black Skirt,Elegant pleated black skirt with an A-line silhouette. Versatile and flattering.,bottoms_skirts,54.99,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=600&auto=format,data\images\product_16.jpg
17,Denim Mini Skirt,Classic denim mini skirt with frayed hem. Casual and stylish.,bottoms_skirts,49.99,https://images.unsplash.com/photo-1573211508950-979d142afa90?w=600&auto=format,
18,Black Leather Boots,High-quality leather boots with rubber sole. Water-resistant and durable.,footwear_boots,129.99,https://images.unsplash.com/photo-1542840412-ec2c9f6b6030?w=600&auto=format,
19,White Sneakers,Clean white leather sneakers. Versatile and minimalist design.,footwear_sneakers,99.99,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=600&auto=format,data\images\product_19.jpg
